job_male,job_female,similarity,img_similarity,text_similarity,job_male_ratio,job_female_ratio,job_male_label,job_female_label,job_male_1_class,job_male_2_class,job_male_3_class,job_female_1_class,job_female_2_class,job_female_3_class
Architectural and engineering manager,Operations research analyst,0.8561683482440522,0.9296875,0.89892578125,12.8,55.0,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Operation manager,Social and community service manager,0.8546552949538024,0.9462890625,0.87939453125,37.1,71.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,Social and community service manager,0.8519900497512438,0.94384765625,0.87939453125,19.1,71.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
First-line supervisor of non-retail sales workers,Human resources worker,0.8514863092490419,0.955078125,0.86669921875,35.9,76.5,Sales and office occupations,"Management, business, and financial operations occupations",Sales and office occupations,Sales and related occupations,-,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Property assessor,Insurance underwriter,0.8513342712065592,0.97607421875,0.84375,34.2,56.9,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Operation manager,Human resources worker,0.8498450311036863,0.953125,0.8671875,37.1,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Computer systems analyst,Operations research analyst,0.8496215534990731,0.9619140625,0.857421875,37.8,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Building cleaner,Housekeeping cleaner,0.8494786743748122,0.9375,0.8837890625,38.7,88.4,Service occupations,Service occupations,Service occupations,Building and grounds cleaning and maintenance occupations,-,Service occupations,Building and grounds cleaning and maintenance occupations,-
Postsecondary teacher,School psychologist,0.847280534001568,0.974609375,0.84130859375,46.6,87.9,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Industrial production manager,Accountant,0.8448662431582881,0.9580078125,0.85693359375,19.1,57.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Food service manager,First-line supervisor of food preparation and serving workers,0.8448662431582881,0.9580078125,0.85693359375,46.7,53.5,"Management, business, and financial operations occupations",Service occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Service occupations,Food preparation and serving related occupations,-
Facilities manager,Social and human service assistant,0.8445401856695902,0.92578125,0.8916015625,23.4,75.3,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations
Chemical technician,Medical scientist,0.8419756885674718,0.947265625,0.86572265625,35.0,51.8,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Counter and rental clerk,Order clerk,0.8413950131522066,0.89501953125,0.921875,38.7,58.3,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Postsecondary teacher,Elementary and middle school teacher,0.8391144425149657,0.9482421875,0.86181640625,46.6,78.6,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations"
Chemical technician,Biological scientist,0.8389056191795075,0.962890625,0.845703125,35.0,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Cost estimator,Accountant,0.8371544340154895,0.982421875,0.82275390625,17.7,57.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Postsecondary teacher,Teaching assistant,0.8367844137193268,0.9326171875,0.87646484375,46.6,79.5,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations"
Food service manager,Food preparation worker,0.8361945793858396,0.92578125,0.88330078125,46.7,58.7,"Management, business, and financial operations occupations",Service occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Service occupations,Food preparation and serving related occupations,-
Operation manager,Accountant,0.8357073249364371,0.9599609375,0.845703125,37.1,57.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,0.835370276745873,0.9560546875,0.849609375,35.9,88.2,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
First-line supervisor of non-retail sales workers,Insurance sales agent,0.8335201752650592,0.96875,0.833984375,35.9,54.9,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Sales and related occupations,-
Software developer,Advertising sales agent,0.8302083104360378,0.953125,0.84765625,20.2,52.7,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Sales and related occupations,-
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,0.8289828471779541,0.90478515625,0.89892578125,44.6,65.8,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,0.8289608657742217,0.96142578125,0.83740234375,35.9,80.1,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Cost estimator,Insurance underwriter,0.828794173462584,0.9765625,0.82080078125,17.7,56.9,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Materials engineer,Medical scientist,0.828581686559837,0.95703125,0.841796875,13.5,51.8,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
First-line supervisor of non-retail sales workers,Social and human service assistant,0.8280871049758571,0.9228515625,0.87841796875,35.9,75.3,Sales and office occupations,Professional and related occupations,Sales and office occupations,Sales and related occupations,-,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations
Property assessor,Accountant,0.8276987668432506,0.9638671875,0.83349609375,34.2,57.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Postsecondary teacher,Special education teacher,0.8274130085947289,0.9150390625,0.88623046875,46.6,86.6,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations"
First-line supervisor of retail sales workers,Order clerk,0.8267975292902204,0.9306640625,0.86865234375,44.6,58.3,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Painter,Artist,0.8253504202111681,0.908203125,0.8916015625,10.4,51.6,"Natural resources, construction, and maintenance occupations",Professional and related occupations,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,-,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Software developer,Accountant,0.8250023813187377,0.9326171875,0.86474609375,20.2,57.0,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Information security analyst,Insurance claims and policy processing clerk,0.8242861539137889,0.92431640625,0.873046875,19.3,80.1,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Operation manager,Compliance officer,0.8240791623619751,0.9560546875,0.83837890625,37.1,51.8,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Chemists and materials scientist,Medical scientist,0.8238556847573619,0.96484375,0.82861328125,36.0,51.8,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Materials engineer,Biological scientist,0.8214010946739059,0.96484375,0.826171875,13.5,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Web and digital interface designer,Advertising sales agent,0.8203056880545725,0.9521484375,0.8388671875,42.7,52.7,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Sales and related occupations,-
Web and digital interface designer,Insurance claims and policy processing clerk,0.8193952915833205,0.96435546875,0.82470703125,42.7,80.1,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Property assessor,Tax preparer,0.819254244242704,0.95703125,0.83251953125,34.2,66.3,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Counter and rental clerk,Payroll and timekeeping clerk,0.8191626550604856,0.8876953125,0.90771484375,38.7,88.2,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
First-line supervisor of non-retail sales workers,Advertising sales agent,0.8184555865737586,0.96484375,0.8232421875,35.9,52.7,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Sales and related occupations,-
First-line supervisor of non-retail sales workers,Order clerk,0.8180727437920852,0.92626953125,0.86474609375,35.9,58.3,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Operation manager,Public relations specialist,0.8153085822727306,0.9169921875,0.8720703125,37.1,76.2,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Property assessor,Real estate broker,0.8150997589372724,0.931640625,0.85595703125,34.2,57.0,"Management, business, and financial operations occupations",Sales and office occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Sales and office occupations,Sales and related occupations,-
First-line supervisor of non-retail sales workers,Customer service representative,0.8144384850416548,0.91259765625,0.8759765625,35.9,65.3,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Software developer,Insurance claims and policy processing clerk,0.8132386667545923,0.97265625,0.8095703125,20.2,80.1,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Information security analyst,Insurance underwriter,0.8121249422988153,0.919921875,0.86572265625,19.3,56.9,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Information security analyst,Accountant,0.8107657588346926,0.9326171875,0.8505859375,19.3,57.0,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Web developer,Advertising sales agent,0.8104177199422622,0.95703125,0.82373046875,19.4,52.7,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Sales and related occupations,-
Postsecondary teacher,Public relations specialist,0.8098150631232643,0.96142578125,0.818359375,46.6,76.2,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Computer support specialist,Customer service representative,0.809333304024795,0.916015625,0.8671875,26.2,65.3,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Software developer,Customer service representative,0.8092636962463089,0.9208984375,0.86181640625,20.2,65.3,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Chemists and materials scientist,Biological scientist,0.8089742744304984,0.96875,0.8095703125,36.0,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Surgeon,Medical scientist,0.8081005136321339,0.93017578125,0.8505859375,20.0,51.8,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Operation manager,Insurance underwriter,0.8068695550231171,0.96142578125,0.8154296875,37.1,56.9,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Postsecondary teacher,Social and community service manager,0.8065599835872186,0.9521484375,0.8251953125,46.6,71.7,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Information security analyst,Payroll and timekeeping clerk,0.8057027088416533,0.9365234375,0.84130859375,19.3,88.2,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Electrical and electronic engineering technician,Medical appliance technician,0.8053766513529554,0.904296875,0.8759765625,11.6,58.9,Professional and related occupations,"Production, transportation, and material moving occupations","Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Production, transportation, and material moving occupations",Production occupations,-
Information security analyst,Executive secretary,0.8052813986034482,0.931640625,0.84619140625,19.3,90.0,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Property assessor,Loan officer,0.8052282768777614,0.95947265625,0.81591796875,34.2,51.6,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Software developer,Insurance sales agent,0.8048051348559119,0.9375,0.83935546875,20.2,54.9,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Sales and related occupations,-
Lawyer,Accountant,0.8038764205482162,0.90966796875,0.86865234375,39.5,57.0,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Legal occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Information security analyst,Social and community service manager,0.8026546208574212,0.8955078125,0.8828125,19.3,71.7,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Information security analyst,Public relations specialist,0.8006762945215015,0.8896484375,0.88720703125,19.3,76.2,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Software developer,Public relations specialist,0.7987712395313564,0.9130859375,0.85986328125,20.2,76.2,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Cook,Baker,0.7983645835623063,0.9140625,0.8583984375,39.8,65.5,Service occupations,"Production, transportation, and material moving occupations",Service occupations,Food preparation and serving related occupations,-,"Production, transportation, and material moving occupations",Production occupations,-
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,0.7977216275031324,0.93505859375,0.8349609375,44.6,88.2,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Postsecondary teacher,Social and human service assistant,0.7970090636654723,0.9609375,0.80615234375,46.6,75.3,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,Community and social service occupations
Lawyer,Legal secretary,0.7962067424292383,0.9345703125,0.833984375,39.5,96.4,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Sales and office occupations,Office and administrative support occupations,-
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,0.795686515874237,0.9228515625,0.84619140625,44.1,88.4,Service occupations,Service occupations,Service occupations,Building and grounds cleaning and maintenance occupations,-,Service occupations,Building and grounds cleaning and maintenance occupations,-
Chemical technician,Miscellaneous health technician,0.7932868793001121,0.912109375,0.85546875,35.0,72.7,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations
Property assessor,Social and community service manager,0.7928692326291957,0.94140625,0.8232421875,34.2,71.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Mechanical engineer,Biological scientist,0.7928380923072413,0.91259765625,0.8544921875,10.1,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Web developer,Customer service representative,0.7926017922171177,0.9326171875,0.83251953125,19.4,65.3,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Web and digital interface designer,Customer service representative,0.7924589130928568,0.908203125,0.85888671875,42.7,65.3,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Computer numerically controlled tool operator,Filling machine operator,0.7907663450054587,0.951171875,0.810546875,7.8,57.3,"Production, transportation, and material moving occupations","Production, transportation, and material moving occupations","Production, transportation, and material moving occupations",Production occupations,-,"Production, transportation, and material moving occupations",Production occupations,-
Personal financial advisor,Loan officer,0.7901875013738378,0.916015625,0.84814453125,32.6,51.6,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,0.7895665267183962,0.88037109375,0.88623046875,44.6,65.8,Sales and office occupations,Service occupations,Sales and office occupations,Sales and related occupations,-,Service occupations,Personal care and service occupations,-
Software quality tester,Customer service representative,0.7892624506334307,0.92236328125,0.84033203125,44.1,65.3,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Postsecondary teacher,Insurance underwriter,0.7877915283670015,0.939453125,0.8203125,46.6,56.9,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Web and digital interface designer,Social and community service manager,0.7877310795067374,0.89892578125,0.8642578125,42.7,71.7,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Software developer,Insurance underwriter,0.7862601572403081,0.916015625,0.84423828125,20.2,56.9,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Property assessor,Insurance sales agent,0.786190549461822,0.9208984375,0.8388671875,34.2,54.9,"Management, business, and financial operations occupations",Sales and office occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Sales and office occupations,Sales and related occupations,-
Software quality tester,Graphic designer,0.7859560811553425,0.9580078125,0.79833984375,44.1,54.7,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Software quality tester,Insurance claims and policy processing clerk,0.7858315198675254,0.9736328125,0.78125,44.1,80.1,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Chemical technician,Ophthalmic medical technician,0.7853479289854117,0.9111328125,0.8486328125,35.0,73.7,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations
Lawyer,Insurance underwriter,0.7848313659976993,0.93359375,0.82373046875,39.5,56.9,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Legal occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Web and digital interface designer,Payroll and timekeeping clerk,0.7841316246455499,0.9482421875,0.80712890625,42.7,88.2,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Database administrator,Executive secretary,0.7839484462811128,0.9404296875,0.8154296875,30.8,90.0,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Office and administrative support occupations,-
Lawyer,Loan officer,0.7834556964807773,0.92333984375,0.83349609375,39.5,51.6,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Legal occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Postsecondary teacher,Mental health counselor,0.7830948351028363,0.958984375,0.79443359375,46.6,74.6,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,Community and social service occupations
First-line supervisor of retail sales workers,Billing and posting clerk,0.7824720286637505,0.90625,0.85107421875,44.6,91.4,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
First-line supervisor of retail sales workers,Social and human service assistant,0.7812630514584662,0.880859375,0.87744140625,44.6,75.3,Sales and office occupations,Professional and related occupations,Sales and office occupations,Sales and related occupations,-,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations
Occupational health and safety specialist,Order clerk,0.7811421537379377,0.9306640625,0.8232421875,17.9,58.3,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Sales and office occupations,Office and administrative support occupations,-
Occupational health and safety specialist,Insurance sales agent,0.7809553118062119,0.888671875,0.86865234375,17.9,54.9,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Sales and office occupations,Sales and related occupations,-
First-line supervisor of retail sales workers,Customer service representative,0.7802812154250838,0.880859375,0.87646484375,44.6,65.3,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Cost estimator,Graphic designer,0.7802738882905063,0.943359375,0.80859375,17.7,54.7,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Web and digital interface designer,Insurance sales agent,0.7802024487283759,0.93115234375,0.82177734375,42.7,54.9,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Sales and related occupations,-
Personal financial advisor,Insurance underwriter,0.7801181866807347,0.93017578125,0.82275390625,32.6,56.9,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Food service manager,Lodging manager,0.7799844664746958,0.8603515625,0.8984375,46.7,61.6,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Software quality tester,Advertising sales agent,0.7797848020574594,0.96044921875,0.78955078125,44.1,52.7,Professional and related occupations,Sales and office occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Sales and office occupations,Sales and related occupations,-
Software quality tester,Insurance underwriter,0.7797408392499945,0.94287109375,0.80859375,44.1,56.9,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Printing press operator,Filling machine operator,0.779471567054272,0.9169921875,0.83642578125,24.7,57.3,"Production, transportation, and material moving occupations","Production, transportation, and material moving occupations","Production, transportation, and material moving occupations",Production occupations,-,"Production, transportation, and material moving occupations",Production occupations,-
Counter and rental clerk,Billing and posting clerk,0.7792993793917014,0.880859375,0.87548828125,38.7,91.4,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Web developer,Public relations specialist,0.7789238637446054,0.91064453125,0.8427734375,19.4,76.2,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
